voucher_id,haul,strata,tax,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species,pre_taxid,gb_coi,bold_coi,gb_16s,blast_coi_id,blast_coi_ap,bold_coi_id,bold_coi_ap,blast_16s_id,blast_16s_ap,rev_tax,final_tax_phylum,final_tax_class,final_tax_order,final_tax_family,final_tax_genus,final_tax,final_taxid,bin,bin_congruence,evidence,accession_coi,accession_16s,bold_process_id
FC-22-005-03,5,32,Gonatus fabricii,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus fabricii,93047,1,1,0,Gonatus steenstrupi,"99,84",Gonatus steenstrupi,100,Gonatus fabricii,100,NA,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus fabricii,93047,BOLD:AAB0336,concordant,multiple,OZ240279,OZ238528,VMEFC029-25
FC-22-005-04,5,32,Periphylla periphylla,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,1,1,1,Periphylla periphylla,100,Periphylla periphylla,100,NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,BOLD:ACO7920,concordant,multiple,OZ240280,NA,VMEFC030-25
FC-22-006-01,6,30,Heteropolypus sp.,Cnidaria,Octocorallia,Scleralcyonacea,Coralliidae,Heteropolypus,NA,1826360,LTR,LTR,LTR,Anthomastinae sp.,"99,24",Anthomastus sp.,"99,83",Anthomastinae sp.,"99,15",NA,Cnidaria,Octocorallia,Scleralcyonacea,Coralliidae,Heteropolypus,Heteropolypus sol,2931934,BOLD:AAD3482,concordant,biogeographic,OZ240281,OZ238529,VMEFC031-25
FC-22-006-02,6,30,Balticina finmarchica,Cnidaria,Octocorallia,Scleralcyonacea,Balticinidae,Balticina,Balticina finmarchica,2899797,1,0,1,Balticina finmarchica,"99,85",Balticina finmarchica,100,NA,NA,NA,Cnidaria,Octocorallia,Scleralcyonacea,Balticinidae,Balticina,Balticina finmarchica,2899797,BOLD:ABX8941,concordant,multiple,OZ240282,NA,VMEFC032-25
FC-22-006-03,6,30,Arcoscalpellum michelottianum,Arthropoda,Thecostraca,Scalpellomorpha,Scalpellidae,Arcoscalpellum,Arcoscalpellum michelottianum,1380511,1,1,0,Arcoscalpellum sp.,"97,65",Arcoscalpellum sp.,"97,64",NA,NA,Arcoscalpellum michelottianum,Arthropoda,Thecostraca,Scalpellomorpha,Scalpellidae,Arcoscalpellum,Arcoscalpellum michelottianum,1380511,BOLD:AHJ6012,multiple,morphological,OZ240283,NA,VMEFC033-25
FC-22-006-04,6,30,Colus islandicus,Mollusca,Gastropoda,Neogastropoda,Colidae,Colus,Colus islandicus,2528148,1,1,1,Colus islandicus,"93,83",Colus stimpsoni,"97,14",Eosipho smithi,"95,95",Colus cf. islandicus,Mollusca,Gastropoda,Neogastropoda,Colidae,Colus,Colus cf. islandicus,2528148,BOLD:AHJ3859,multiple,multiple,OZ240284,OZ238530,VMEFC034-25
FC-22-006-05,6,30,Chiroteuthis veranii,Mollusca,Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis,Chiroteuthis veranii,61696,1,1,1,Chiroteuthis veranii ,"99,54",Chiroteuthis veranii,"99,84",Chiroteuthis veranii,100,NA,Mollusca,Cephalopoda,Oegopsida,Chiroteuthidae,Chiroteuthis,Chiroteuthis veranii,61696,BOLD:ACK5688,multiple,multiple,OZ240285,OZ238531,VMEFC035-25
FC-22-008-01,8,21,Distichoptilum gracile,Cnidaria,Octocorallia,Scleralcyonacea,Protoptilidae,Distichoptilum,Distichoptilum gracile,361155,1,1,1,Distichoptilum gracile ,100,Distichoptilum gracile,100,Distichoptilum gracile,100,NA,Cnidaria,Octocorallia,Scleralcyonacea,Protoptilidae,Distichoptilum,Distichoptilum gracile,361155,BOLD:ACB6157,concordant,multiple,OZ240286,OZ238532,VMEFC036-25
FC-22-008-02,8,21,Duva florida,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Duva,Duva florida,2931940,0,0,0,Sclerophytum lochmodes,"79,78",No match,NA,Isidella sp.,"77,52",NA,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Duva,Duva florida,2931940,BOLD:ADG6011,concordant,morphological,OZ240287,OZ238533,VMEFC037-25
FC-22-008-03,8,21,Actinoscyphia sp.,Cnidaria,Hexacorallia,Actiniaria,Actinoscyphiidae,Actinoscyphia,NA,478381,LTR,LTR,LTR,Galatheanthemum cf. profundale,"98,18",Stephanauge sp.,"99,53",NA,NA,Actinoscyphia aurelia,Cnidaria,Hexacorallia,Actiniaria,Actinoscyphiidae,Actinoscyphia,Actinoscyphia aurelia,3279687,BOLD:ACM6770,concordant,morphological,OZ240288,NA,VMEFC038-25
FC-22-008-04,8,21,Actinoscyphia sp.,Cnidaria,Hexacorallia,Actiniaria,Actinoscyphiidae,Actinoscyphia,NA,478381,LTR,LTR,LTR,Galatheanthemum cf. profundale,"98,16",Stephanauge sp.,"99,5",NA,NA,Actinoscyphia aurelia,Cnidaria,Hexacorallia,Actiniaria,Actinoscyphiidae,Actinoscyphia,Actinoscyphia aurelia,3279687,BOLD:ACM6770,concordant,morphological,OZ240289,NA,VMEFC039-25
FC-22-008-05,8,21,Semirossia sp.,Mollusca,Cephalopoda,Sepiida,Sepiolidae,Semirossia,NA,255025,LTR,LTR,LTR,Neorossia caroli,"93,01",Rossia megaptera,100,Semirossia tenera,"96,73",Rossia megaptera,Mollusca,Cephalopoda,Sepiolida,Sepiolidae,Rossia,Rossia megaptera,34532,BOLD:AAU0001,multiple,multiple,OZ240290,OZ238534,VMEFC040-25
FC-22-008-06,8,21,Heteropolypus sp.,Cnidaria,Octocorallia,Scleralcyonacea,Coralliidae,Heteropolypus,NA,1826360,LTR,LTR,LTR,Anthomastinae sp.,"99,24",Anthomastus ritteri,"99,84",Anthomastinae sp.,"99,15",NA,Cnidaria,Octocorallia,Scleralcyonacea,Coralliidae,Heteropolypus,Heteropolypus sol,2931934,BOLD:AAD3482,concordant,biogeographic,OZ240291,OZ238535,VMEFC041-25
FC-22-011-01,11,31,Geodia barretti,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,1,1,1,Geodia barretti,100,Geodia sp.,100,Geodia barretti,100,NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,BOLD:AAY1595,concordant,multiple,OZ240292,OZ238536,VMEFC042-25
FC-22-011-02,11,31,Geodia barretti,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,1,1,1,Geodia barretti,100,Geodia sp.,100,Geodia barretti,100,NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,BOLD:AAY1595,concordant,multiple,OZ240293,OZ238537,VMEFC043-25
FC-22-011-03,11,31,Geodia barretti,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,1,1,1,Geodia barretti,100,Geodia sp.,100,NA,NA,NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,BOLD:AAY1595,concordant,multiple,OZ240294,NA,VMEFC044-25
FC-22-011-04,11,31,Geodia barretti,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,1,1,1,Geodia barretti,100,Geodia sp.,100,Geodia barretti,100,NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia barretti,519541,BOLD:AAY1595,concordant,multiple,OZ240295,OZ238538,VMEFC045-25
FC-22-011-05,11,31,Geodia sp.,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,NA,6046,LTR,LTR,LTR,Stelletta tuberosa,100,Stelletta tuberosa,100,Demospongiae sp.,100,Stelletta tuberosa,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stelletta,Stelletta tuberosa,1006810,BOLD:ACB5687,concordant,multiple,OZ240296,OZ238539,VMEFC046-25
FC-22-011-06,11,31,Atlantopandalus propinqvus,Arthropoda,Malacostraca,Decapoda,Pandalidae,Atlantopandalus,Atlantopandalus propinqvus,2268695,1,1,1,Atlantopandalus propinqvus,"90,25",No match,NA,Atlantopandalus propinqvus,99,NA,Arthropoda,Malacostraca,Decapoda,Pandalidae,Atlantopandalus,Atlantopandalus propinqvus,2268695,BOLD:AHJ5880,multiple,multiple,OZ240297,OZ238540,VMEFC047-25
FC-22-011-07,11,31,Craniella sp.,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,NA,496416,LTR,LTR,LTR,Craniella sp.,"99,07",Craniella cf. cranium,"99,09",Demospongiae sp.,97,Craniella cranium,Porifera,Demospongiae,Tetractinellida,Tetillidae,Craniella,Craniella cranium,1006792,BOLD:ACI0569,multiple,morphological,OZ240298,OZ238541,VMEFC048-25
FC-22-011-08,11,31,Stelletta sp.,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stelleta,NA,253167,LTR,LTR,LTR,NA,NA,NA,NA,Geodia barretti,"92,78",cf. Stelletta sp. 1,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stelleta,cf. Stelletta sp. 1 MPL-2024,3384868,NA,multiple,morphological,NA,OZ238542,VMEFC049-25
FC-22-011-09,11,31,Polychaeta,Annelida,Polychaeta,NA,NA,NA,NA,6341,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-011-10,11,31,Ophiuroidea,Echinodermata,Ophiuroidea,NA,NA,NA,NA,7618,LTR,LTR,LTR,NA,NA,NA,NA,Ophiomitrella stellifera,"94,4",Ophiacantha aculeata,Echinodermata,Ophiuroidea,Ophiacantida,Ophiacanthidae,Ophiacantha,Ophiacantha aculeata,3093565,NA,concordant,morphological,NA,OZ238543,VMEFC050-25
FC-22-011-11,11,31,Ophiuroidea,Echinodermata,Ophiuroidea,NA,NA,NA,NA,7618,LTR,LTR,LTR,Ophiacantha sp.,"97,14",No match,NA,Ophiomitrella stellifera,"95,15",Ophiacantha aculeata,Echinodermata,Ophiuroidea,Ophiacantida,Ophiacanthidae,Ophiacantha,Ophiacantha aculeata,3093565,NA,concordant,morphological,OZ240299,OZ238544,VMEFC051-25
FC-22-011-12,11,31,Didemnidae,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,NA,NA,107393,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-011-13,11,31,Nephtheidae,Cnidaria,Octocorallia,Malacalcyonacea,Nephtheidae,NA,NA,51108,LTR,LTR,LTR,Muriceopsis flavida,"82,69",No match,NA,Anthomastus sp.,"82,21",Pseudodrifa sp.,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Pseudodrifa,Pseudodrifa sp.,3097313,BOLD:AHJ0458,multiple,morphological,OZ240300,OZ238545,VMEFC052-25
FC-22-011-14,11,31,Ophiomusa lymani,Echinodermata,Ophiuroidea,Ophiurida,Ophiomusaidae,Ophiomusa,Ophiomusa lymani,72729,1,0,0,NA,NA,NA,NA,Asteroschema sp.,"81,45",NA,Echinodermata,Ophiuroidea,Ophiurida,Ophiomusaidae,Ophiomusa,Ophiomusa lymani,72729,NA,no_bin,morphological,NA,OZ238546,VMEFC053-25
FC-22-011-15,11,31,Acanthogorgia sp.,Cnidaria,Octocorallia,Malacalcyonacea,Paramuriceidae,Acanthogorgia,NA,44189,LTR,LTR,LTR,Acanthogorgia armata,"99,83",Acanthogorgia granulata,"99,34",Euplexaura crassa,"99,4",NA,Cnidaria,Octocorallia,Malacalcyonacea,Paramuriceidae,Acanthogorgia,Acanthogorgia sp. MPL-2024,3384842,BOLD:AAH8240,concordant,multiple,OZ240301,OZ238547,VMEFC054-25
FC-22-011-16,11,31,Cirripedia,Arthropoda,Thecostraca,NA,NA,NA,NA,6675,LTR,LTR,LTR,Weltnerium stroemii,"95,85",No match,NA,Hoekinii sp.,"83,37",NA,Arthropoda,Thecostraca,Scalpellomorpha,Scalpellidae,Weltnerium,Weltnerium stroemii,3384887,BOLD:AHI8288,concordant,genetic,OZ240302,OZ238548,VMEFC055-25
FC-22-011-17,11,31,Stryphnus sp.,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,NA,77190,LTR,LTR,LTR,Stryphnus fortis,"98,85",Stryphnus fortis,100,Geodia barretti,"93,21",Stryphnus fortis,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,Stryphnus fortis,1006811,BOLD:ACB4853,concordant,multiple,OZ240303,OZ238549,VMEFC056-25
FC-22-011-18,11,31,Stryphnus sp.,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,NA,77190,LTR,LTR,LTR,Stryphnus fortis,"99,7",Stryphnus ponderosus ,"99,69",Geodia barretti,"93,19",Stryphnus fortis,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,Stryphnus fortis,1006811,BOLD:ACB4853,concordant,multiple,OZ240304,OZ238550,VMEFC057-25
FC-22-011-19,11,31,Geodia macandrewii,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia macandrewii,519544,1,0,0,Geodia macandrewii,"99,84",Geodia macandrewii,"99,83",Geodia barretti,"97,83",Geodia aff. macandrewii,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia aff. macandrewii MPL-2024,3384880,BOLD:ACE5193,concordant,morphological,OZ240305,OZ238551,VMEFC058-25
FC-22-011-20,11,31,Echinothuriidae,Echinodermata,Echinoidea,Echinothurioida,Echinothuriidae,NA,NA,41370,LTR,LTR,LTR,Hygrosoma sp.,"97,88",Hygrosoma sp.,"99,02",Hygrosoma sp.,"99,2",Hygrosoma petersii,Echinodermata,Echinoidea,Echinothurioida,Echinothuriidae,Hygrosoma,Hygrosoma petersii,3252947,BOLD:AAI2272,concordant,morphological,OZ240306,OZ238552,VMEFC059-25
FC-22-011-21,11,31,Geodia macandrewii,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia macandrewii,519544,1,0,0,Geodia macandrewii,100,Geodia macandrewii,100,Geodia barretti,"97,83",NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia macandrewii,519544,BOLD:ACE5193,concordant,multiple,OZ240307,OZ238553,VMEFC060-25
FC-22-011-22,11,31,Geodia macandrewii,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia macandrewii,519544,1,0,0,Geodia macandrewii,100,Geodia macandrewii,100,Geodia barretti,"97,74",NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia macandrewii,519544,BOLD:ACE5193,concordant,multiple,OZ240308,OZ238554,VMEFC061-25
